repo,pr_number,state,changed_files,additions,deletions,lines_changed,analysis_time_hours,body_length_chars,participants_count,comments_count,reviews_count
codecrafters-io/build-your-own-x,1682,CLOSED,1,1,0,1,484.38666666666666,411,3,1,1
codecrafters-io/build-your-own-x,1681,CLOSED,8,446,0,446,198.91027777777776,11,2,1,1
codecrafters-io/build-your-own-x,1639,MERGED,1,2,1,3,34.995555555555555,0,3,1,1
codecrafters-io/build-your-own-x,1621,CLOSED,4,119,425,544,2179.6286111111112,436,3,1,1
codecrafters-io/build-your-own-x,1618,CLOSED,1,9,8,17,755.9930555555555,584,2,3,1
codecrafters-io/build-your-own-x,1538,MERGED,1,2,1,3,4482.398888888889,11,3,1,1
codecrafters-io/build-your-own-x,1521,CLOSED,1,1,0,1,5928.261666666666,79,2,0,1
codecrafters-io/build-your-own-x,1517,CLOSED,1,0,5,5,24.761388888888888,138,3,4,1
codecrafters-io/build-your-own-x,1504,MERGED,1,6,0,6,5530.331111111111,68,2,2,1
codecrafters-io/build-your-own-x,1503,CLOSED,2,117,0,117,93.49138888888889,0,4,4,1
codecrafters-io/build-your-own-x,1434,CLOSED,1,1,0,1,2031.9975,316,1,3,1
codecrafters-io/build-your-own-x,1425,MERGED,1,5,0,5,7219.118333333333,1250,3,9,1
codecrafters-io/build-your-own-x,1419,CLOSED,1,18,1,19,917.3480555555556,332,3,4,2
codecrafters-io/build-your-own-x,1414,MERGED,1,1,0,1,1.1997222222222221,293,2,1,1
codecrafters-io/build-your-own-x,1406,CLOSED,2,1,0,1,19.529166666666665,97,1,1,1
codecrafters-io/build-your-own-x,1398,MERGED,1,0,1,1,7893.9991666666665,140,3,2,1
codecrafters-io/build-your-own-x,1396,CLOSED,1,1,0,1,1.7066666666666668,193,1,1,1
codecrafters-io/build-your-own-x,1393,MERGED,1,1,0,1,8055.775833333333,278,2,2,2
codecrafters-io/build-your-own-x,1385,MERGED,1,3,0,3,8283.408333333333,404,2,2,1
codecrafters-io/build-your-own-x,1325,CLOSED,1,1,1,2,673.2169444444445,180,3,2,1
codecrafters-io/build-your-own-x,1293,CLOSED,1,1,1,2,1174.7955555555557,34,3,0,2
codecrafters-io/build-your-own-x,1084,CLOSED,1,1,0,1,1829.3041666666666,140,2,1,1
codecrafters-io/build-your-own-x,1060,MERGED,1,1,1,2,168.81305555555556,12,6,2,3
codecrafters-io/build-your-own-x,1030,CLOSED,1,2,0,2,54.9325,91,2,0,2
codecrafters-io/build-your-own-x,961,CLOSED,1,1,0,1,17.911944444444444,0,3,0,1
codecrafters-io/build-your-own-x,948,CLOSED,1,3,3,6,11269.164722222222,31,2,1,1
codecrafters-io/build-your-own-x,944,CLOSED,1,1,0,1,125.55527777777777,13,2,0,1
codecrafters-io/build-your-own-x,934,MERGED,1,1,1,2,637.1402777777778,142,3,0,1
codecrafters-io/build-your-own-x,905,CLOSED,1,1,0,1,22678.33638888889,58,2,0,1
codecrafters-io/build-your-own-x,893,MERGED,1,1,0,1,15.380277777777778,109,2,0,3
codecrafters-io/build-your-own-x,892,MERGED,1,1,0,1,7.708611111111111,91,3,1,2
codecrafters-io/build-your-own-x,870,CLOSED,1,1,1,2,4901.0,0,3,1,1
codecrafters-io/build-your-own-x,855,MERGED,1,1,0,1,39.486666666666665,48,2,1,2
codecrafters-io/build-your-own-x,809,MERGED,1,1,0,1,88.36277777777778,11,4,1,1
codecrafters-io/build-your-own-x,802,CLOSED,1,1,0,1,4347.466388888889,136,4,0,3
codecrafters-io/build-your-own-x,798,CLOSED,1,1,0,1,30912.194166666668,72,3,6,1
codecrafters-io/build-your-own-x,797,CLOSED,1,1,0,1,15553.372222222222,70,2,0,1
codecrafters-io/build-your-own-x,795,CLOSED,1,1,0,1,2048.3005555555555,82,2,0,1
codecrafters-io/build-your-own-x,775,MERGED,1,1,1,2,98.28583333333333,139,3,1,1
codecrafters-io/build-your-own-x,751,MERGED,1,1,0,1,1137.4447222222223,57,3,1,1
codecrafters-io/build-your-own-x,748,CLOSED,1,1,0,1,9169.063333333334,83,5,1,4
codecrafters-io/build-your-own-x,696,MERGED,1,1,1,2,68.11916666666667,109,3,1,1
codecrafters-io/build-your-own-x,688,CLOSED,1,131,23,154,32381.1275,206,2,0,1
codecrafters-io/build-your-own-x,678,CLOSED,1,1,0,1,5825.623611111111,68,3,1,1
codecrafters-io/build-your-own-x,674,MERGED,1,0,1,1,592.4505555555555,0,3,0,1
codecrafters-io/build-your-own-x,634,CLOSED,1,1,0,1,1777.5122222222221,60,2,0,1
sindresorhus/awesome,4151,CLOSED,1,1,0,1,11.292777777777777,898,3,1,1
sindresorhus/awesome,4102,CLOSED,1,1,0,1,430.3977777777778,7065,3,1,3
sindresorhus/awesome,4055,CLOSED,1,1,0,1,1.5405555555555555,7482,3,1,1
sindresorhus/awesome,4049,CLOSED,1,1,0,1,5.734166666666667,1464,5,1,2
sindresorhus/awesome,4046,CLOSED,1,1,0,1,176.74527777777777,8947,5,12,1
sindresorhus/awesome,4040,CLOSED,1,1,0,1,188.7513888888889,927,6,5,2
sindresorhus/awesome,4017,CLOSED,1,1,0,1,317.50805555555553,3280,6,4,3
sindresorhus/awesome,4014,CLOSED,1,1,0,1,351.5230555555556,2835,6,7,3
sindresorhus/awesome,4012,CLOSED,1,1,1,2,350.12055555555554,2967,5,3,2
sindresorhus/awesome,4003,CLOSED,1,1,0,1,923.3030555555556,7028,10,11,2
sindresorhus/awesome,4001,CLOSED,1,1,0,1,385.8525,7355,4,3,1
sindresorhus/awesome,3999,CLOSED,1,1,0,1,482.4036111111111,753,7,5,2
sindresorhus/awesome,3998,CLOSED,1,1,0,1,514.0461111111111,7389,4,5,1
sindresorhus/awesome,3991,CLOSED,1,1,0,1,577.8983333333333,67,5,4,1
sindresorhus/awesome,3964,CLOSED,1,1,1,2,846.0083333333333,6752,5,5,2
sindresorhus/awesome,3961,CLOSED,1,1,0,1,879.2544444444444,1272,4,4,3
sindresorhus/awesome,3960,CLOSED,1,2,0,2,897.8080555555556,1411,8,8,1
sindresorhus/awesome,3957,CLOSED,1,1,1,2,561.7636111111111,937,6,7,1
sindresorhus/awesome,3945,CLOSED,1,1,0,1,1102.6869444444444,7147,4,3,1
sindresorhus/awesome,3942,CLOSED,1,1,0,1,127.89166666666667,242,3,1,1
sindresorhus/awesome,3927,CLOSED,1,1,0,1,1315.0194444444444,7427,5,4,3
sindresorhus/awesome,3912,CLOSED,1,1,0,1,1435.9283333333333,764,7,10,3
sindresorhus/awesome,3875,MERGED,1,1,1,2,21.663333333333334,120,4,0,2
sindresorhus/awesome,3861,CLOSED,1,1,0,1,1966.1361111111112,7147,7,4,3
sindresorhus/awesome,3856,MERGED,1,1,1,2,1.3594444444444445,191,6,2,2
sindresorhus/awesome,3830,CLOSED,1,1,0,1,6.047777777777778,2151,3,1,1
sindresorhus/awesome,3818,MERGED,1,1,1,2,2537.4508333333333,6957,10,17,5
sindresorhus/awesome,3804,CLOSED,1,1,0,1,2725.875,3204,8,8,8
sindresorhus/awesome,3788,CLOSED,1,1,0,1,3045.3083333333334,7344,11,5,8
sindresorhus/awesome,3781,CLOSED,1,1,0,1,2196.9808333333335,2392,9,7,5
sindresorhus/awesome,3774,CLOSED,1,1,0,1,16.418333333333333,223,3,1,2
sindresorhus/awesome,3746,CLOSED,3,170,0,170,12.200277777777778,2865,3,1,1
sindresorhus/awesome,3742,CLOSED,1,1,0,1,2.370277777777778,1131,2,0,1
sindresorhus/awesome,3733,CLOSED,1,1,0,1,3553.8558333333335,7173,9,7,4
sindresorhus/awesome,3732,CLOSED,1,1,0,1,2661.4466666666667,3740,9,10,4
sindresorhus/awesome,3729,CLOSED,1,1,0,1,9.510277777777778,6607,6,8,1
sindresorhus/awesome,3719,CLOSED,1,1,0,1,2892.9683333333332,1064,10,11,4
sindresorhus/awesome,3714,CLOSED,1,1,0,1,55.708888888888886,1255,3,3,1
sindresorhus/awesome,3682,CLOSED,23,107,2323,2430,3.5522222222222224,7473,3,1,2
sindresorhus/awesome,3662,CLOSED,1,1,0,1,3808.275833333333,1718,8,8,5
sindresorhus/awesome,3658,MERGED,1,1,0,1,906.8902777777778,3776,5,5,2
sindresorhus/awesome,3654,CLOSED,1,1,0,1,3790.663888888889,138,5,12,2
sindresorhus/awesome,3651,CLOSED,1,1,0,1,985.5183333333333,7742,4,4,1
sindresorhus/awesome,3645,CLOSED,1,1,0,1,473.4116666666667,7253,3,4,1
sindresorhus/awesome,3641,CLOSED,1,16,5,21,4764.420833333334,7248,7,2,4
sindresorhus/awesome,3633,MERGED,1,1,0,1,1162.4219444444445,7401,4,6,1
sindresorhus/awesome,3621,MERGED,1,1,0,1,1310.2008333333333,6789,9,11,5
freeCodeCamp/freeCodeCamp,67391,MERGED,3,3,3,6,1.0061111111111112,353,2,0,4
freeCodeCamp/freeCodeCamp,67390,MERGED,3,3,3,6,1.1366666666666667,364,2,0,2
freeCodeCamp/freeCodeCamp,67361,MERGED,16,16,16,32,10.328333333333333,689,2,0,1
freeCodeCamp/freeCodeCamp,67360,MERGED,1,2,0,2,13.205277777777777,814,3,1,1
freeCodeCamp/freeCodeCamp,67355,MERGED,1,1,1,2,1.6625,47,2,0,1
freeCodeCamp/freeCodeCamp,67354,MERGED,4,108,106,214,2.736388888888889,45,2,0,1
freeCodeCamp/freeCodeCamp,67350,MERGED,1,1,3,4,11.103055555555555,563,2,0,2
freeCodeCamp/freeCodeCamp,67340,MERGED,1,1,1,2,1.2005555555555556,584,2,0,1
freeCodeCamp/freeCodeCamp,67338,MERGED,1,1,1,2,1.2383333333333333,47,2,0,1
freeCodeCamp/freeCodeCamp,67330,MERGED,1,1,1,2,11.367222222222223,586,2,1,1
freeCodeCamp/freeCodeCamp,67326,MERGED,1,1,1,2,11.545277777777779,47,3,0,1
freeCodeCamp/freeCodeCamp,67325,MERGED,1,2,0,2,1.9830555555555556,284,2,0,1
freeCodeCamp/freeCodeCamp,67324,MERGED,1,10,1,11,48.7925,397,2,0,1
freeCodeCamp/freeCodeCamp,67323,MERGED,20,224,234,458,14.513333333333334,45,2,0,1
freeCodeCamp/freeCodeCamp,67317,MERGED,1,2,2,4,23.84861111111111,415,4,2,2
freeCodeCamp/freeCodeCamp,67312,MERGED,1,31,31,62,4.011666666666667,1901,1,0,3
freeCodeCamp/freeCodeCamp,67309,MERGED,1,2,2,4,6.894166666666667,813,1,1,3
freeCodeCamp/freeCodeCamp,67295,MERGED,1,1,1,2,9.10138888888889,676,3,3,2
freeCodeCamp/freeCodeCamp,67293,MERGED,6,11,11,22,1.7994444444444444,579,1,0,3
freeCodeCamp/freeCodeCamp,67292,MERGED,2,2,2,4,1.1769444444444443,286,3,0,2
freeCodeCamp/freeCodeCamp,67288,MERGED,1,44,44,88,12.670555555555556,1133,1,1,3
freeCodeCamp/freeCodeCamp,67286,CLOSED,1,1,1,2,1.6402777777777777,507,2,0,1
freeCodeCamp/freeCodeCamp,67285,MERGED,2,155,155,310,2.5094444444444446,662,1,1,3
freeCodeCamp/freeCodeCamp,67283,CLOSED,1,1,1,2,3.9766666666666666,617,1,1,2
freeCodeCamp/freeCodeCamp,67280,MERGED,2,0,67,67,3.4875,432,3,0,2
freeCodeCamp/freeCodeCamp,67277,CLOSED,1,2,2,4,37.290277777777774,653,2,1,1
freeCodeCamp/freeCodeCamp,67271,MERGED,2,118,14,132,12.474444444444444,836,3,0,1
freeCodeCamp/freeCodeCamp,67269,MERGED,2,9,9,18,18.230555555555554,617,2,1,3
freeCodeCamp/freeCodeCamp,67261,MERGED,18,16,18,34,45.16361111111111,286,3,0,1
