owner,name,full_name,url,stars,language,pr_total_merged_closed
codecrafters-io,build-your-own-x,codecrafters-io/build-your-own-x,https://github.com/codecrafters-io/build-your-own-x,501436,Markdown,343
sindresorhus,awesome,sindresorhus/awesome,https://github.com/sindresorhus/awesome,466322,,2378
freeCodeCamp,freeCodeCamp,freeCodeCamp/freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,444727,TypeScript,44999
public-apis,public-apis,public-apis/public-apis,https://github.com/public-apis/public-apis,435007,Python,3319
EbookFoundation,free-programming-books,EbookFoundation/free-programming-books,https://github.com/EbookFoundation/free-programming-books,388292,Python,11633
openclaw,openclaw,openclaw/openclaw,https://github.com/openclaw/openclaw,371851,TypeScript,40534
nilbuild,developer-roadmap,nilbuild/developer-roadmap,https://github.com/nilbuild/developer-roadmap,354761,TypeScript,6050
donnemartin,system-design-primer,donnemartin/system-design-primer,https://github.com/donnemartin/system-design-primer,348578,Python,373
jwasham,coding-interview-university,jwasham/coding-interview-university,https://github.com/jwasham/coding-interview-university,346738,,1013
vinta,awesome-python,vinta/awesome-python,https://github.com/vinta/awesome-python,297630,Python,2411
awesome-selfhosted,awesome-selfhosted,awesome-selfhosted/awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,292168,,3043
996icu,996.ICU,996icu/996.ICU,https://github.com/996icu/996.ICU,276176,,1991
practical-tutorials,project-based-learning,practical-tutorials/project-based-learning,https://github.com/practical-tutorials/project-based-learning,265689,,383
facebook,react,facebook/react,https://github.com/facebook/react,245019,JavaScript,19024
TheAlgorithms,Python,TheAlgorithms/Python,https://github.com/TheAlgorithms/Python,221042,Python,11411
trimstray,the-book-of-secret-knowledge,trimstray/the-book-of-secret-knowledge,https://github.com/trimstray/the-book-of-secret-knowledge,220246,,242
vuejs,vue,vuejs/vue,https://github.com/vuejs/vue,209765,TypeScript,2374
ossu,computer-science,ossu/computer-science,https://github.com/ossu/computer-science,203807,HTML,514
trekhleb,javascript-algorithms,trekhleb/javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,195960,JavaScript,576
